"title","link","date","tag"
"Bank Rate maintained at 0.1% - May 2020","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2020/may-2020","07 May 2020","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.1% - March 2020","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2020/march-2020","26 March 2020","// News // Monetary Policy Committee (MPC)"
"Minutes of the special Monetary Policy Committee meeting ending on 10 March 2020","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2020/13march-2020","13 March 2020","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - January 2020","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2020/january-2020","30 January 2020","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - December 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/december-2019","19 December 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - November 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/november-2019","07 November 2019","// News // Monetary Policy Committee (MPC)"
"Monetary Policy Committee dates for 2020","https://www.bankofengland.co.uk/news/2019/september/monetary-policy-committee-dates-for-2020","19 September 2019","// News // News release"
"Bank Rate maintained at 0.75% - September 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/september-2019","19 September 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - August 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/august-2019","01 August 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - June 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/june-2019","20 June 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - May 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/may-2019","02 May 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - March 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/march-2019","21 March 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - February 2019","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2019/february-2019","07 February 2019","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.75% - December 2018","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/december-2018","20 December 2018","// News // Monetary Policy Committee (MPC)"
"Provisional Monetary Policy Committee dates for 2020","https://www.bankofengland.co.uk/news/2018/november/provisional-mpc-dates-for-2020","01 November 2018","// News // News release"
"Bank Rate maintained at 0.75% - November 2018","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/november-2018","01 November 2018","// News // Monetary Policy Committee (MPC)"
"Monetary Policy Committee dates for 2019","https://www.bankofengland.co.uk/news/2018/september/monetary-policy-committee-dates-for-2019","13 September 2018","// News // News release"
"Bank Rate maintained at 0.75% - September 2018","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/september-2018","13 September 2018","// News // Monetary Policy Committee (MPC)"
"Monetary Policy Committee voted unanimously to raise Bank Rate to 0.75%","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/august-2018","02 August 2018","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.5% - June 2018","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/june-2018","21 June 2018","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.5% - May 2018","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/may-2018","10 May 2018","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.5%","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/march-2018","22 March 2018","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.50%","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2018/february-2018","08 February 2018","// News // Monetary Policy Committee (MPC)"
"Bank Rate maintained at 0.50%","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2017/december-2017","14 December 2017","// News // Monetary Policy Committee (MPC)"
